dataset,model,horizon,mae,rmse,mape,r2
metr_la,Historical_Mean,5m,56.061,57.92,101.1,-13.3731
metr_la,Historical_Mean,15m,56.06,57.92,101.1,-13.3714
metr_la,Historical_Mean,30m,56.064,57.93,101.08,-13.3833
metr_la,Historical_Mean,overall,56.062,57.923,101.09,-13.3759
metr_la,Persistence,5m,56.214,57.969,102.0,-13.3977
metr_la,Persistence,15m,56.266,58.048,101.98,-13.4348
metr_la,Persistence,30m,56.347,58.162,101.97,-13.4986
metr_la,Persistence,overall,56.276,58.06,101.98,-13.4437
metr_la,Linear_Regression,5m,3.185,6.61,7.95,0.8128
metr_la,Linear_Regression,15m,5.015,10.491,12.9,0.5285
metr_la,Linear_Regression,30m,6.968,13.481,18.16,0.2211
metr_la,Linear_Regression,overall,5.056,10.575,13.0,0.5208
metr_la,GRU,5m,49.75,52.039,86.69,-10.6027
metr_la,GRU,15m,50.617,52.871,88.51,-10.9748
metr_la,GRU,30m,49.758,52.046,86.7,-10.6098
metr_la,GRU,overall,50.041,52.32,87.3,-10.7291
metr_la,GCN,5m,31.615,37.047,67.51,-4.8803
metr_la,GCN,15m,31.31,36.675,65.78,-4.7621
metr_la,GCN,30m,31.716,36.946,65.83,-4.8503
metr_la,GCN,overall,31.547,36.889,66.37,-4.8309
metr_la,ST_GNN,5m,53.105,55.265,93.79,-12.0856
metr_la,ST_GNN,15m,53.477,55.623,94.59,-12.2538
metr_la,ST_GNN,30m,53.815,55.947,95.31,-12.4154
metr_la,ST_GNN,overall,53.466,55.612,94.56,-12.2515
