dataset,model,horizon,mae,rmse,mape,r2
pems_bay,Historical_Mean,5m,64.436,64.659,99.88,-124.0805
pems_bay,Historical_Mean,15m,64.396,64.624,99.88,-122.4162
pems_bay,Historical_Mean,30m,64.335,64.569,99.87,-119.5468
pems_bay,Historical_Mean,overall,64.389,64.617,99.87,-121.9817
pems_bay,Persistence,5m,64.375,64.584,99.83,-123.7905
pems_bay,Persistence,15m,64.335,64.552,99.82,-122.1438
pems_bay,Persistence,30m,64.273,64.502,99.8,-119.2967
pems_bay,Persistence,overall,64.328,64.546,99.82,-121.7111
pems_bay,Linear_Regression,5m,0.93,1.714,1.59,0.9121
pems_bay,Linear_Regression,15m,1.367,2.846,2.44,0.7606
pems_bay,Linear_Regression,30m,1.748,3.853,3.24,0.5707
pems_bay,Linear_Regression,overall,1.348,2.938,2.42,0.7458
pems_bay,GRU,5m,58.518,58.803,90.5,-102.4476
pems_bay,GRU,15m,59.329,59.613,91.82,-104.0202
pems_bay,GRU,30m,58.008,58.305,89.83,-97.292
pems_bay,GRU,overall,58.618,58.909,90.72,-101.2141
pems_bay,GCN,5m,35.107,39.717,54.9,-46.1935
pems_bay,GCN,15m,35.178,39.941,55.1,-46.1431
pems_bay,GCN,30m,34.968,39.679,54.73,-44.5223
pems_bay,GCN,overall,35.084,39.779,54.91,-45.6069
pems_bay,ST_GNN,5m,61.83,62.099,95.7,-114.3712
pems_bay,ST_GNN,15m,62.112,62.383,96.2,-114.0086
pems_bay,ST_GNN,30m,62.091,62.37,96.26,-111.4748
pems_bay,ST_GNN,overall,62.011,62.284,96.05,-113.2613
