dataset,model,horizon,mae,rmse,mape,r2
synthetic,Historical_Mean,5m,51.305,52.267,100.37,-21.1002
synthetic,Historical_Mean,15m,51.158,52.16,100.32,-20.5852
synthetic,Historical_Mean,30m,50.939,51.999,100.26,-19.861
synthetic,Historical_Mean,overall,51.134,52.143,100.31,-20.5017
synthetic,Persistence,5m,51.305,52.267,100.37,-21.1
synthetic,Persistence,15m,51.158,52.16,100.32,-20.585
synthetic,Persistence,30m,50.938,51.999,100.26,-19.8607
synthetic,Persistence,overall,51.134,52.142,100.31,-20.5015
synthetic,Linear_Regression,5m,0.759,2.765,1.83,0.9382
synthetic,Linear_Regression,15m,2.112,4.72,5.13,0.8232
synthetic,Linear_Regression,30m,3.78,6.53,9.27,0.671
synthetic,Linear_Regression,overall,2.217,4.918,5.41,0.8087
synthetic,GRU,5m,44.905,46.261,86.46,-16.3128
synthetic,GRU,15m,46.104,47.451,89.2,-16.8637
synthetic,GRU,30m,45.465,46.869,88.26,-15.9474
synthetic,GRU,overall,45.491,46.863,87.97,-16.3679
synthetic,GCN,5m,16.571,20.494,35.93,-2.3977
synthetic,GCN,15m,17.642,22.6,42.52,-3.0523
synthetic,GCN,30m,16.41,20.37,37.81,-2.2011
synthetic,GCN,overall,16.874,21.179,38.75,-2.5474
synthetic,ST_GNN,5m,49.029,50.274,94.99,-19.4464
synthetic,ST_GNN,15m,46.794,48.122,90.63,-17.3722
synthetic,ST_GNN,30m,47.569,48.912,92.66,-17.4577
synthetic,ST_GNN,overall,47.797,49.111,92.76,-18.074
